Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,,matchname,city,street,postalcode
Général,EPICERIE THIBAULT,Guillaume,Telephone,4189672633,hotman2002@hotmail.com,Sainte-Anne-des-Monts,1,,,No match,N/A,N/A,N/A
Général,EPICERIE NAZAIRE ESSIAMBRE,Richard,Telephone,4187633101,epic.n.essiambre@cgocable.ca,Sainte-Anne-des-Monts,3,,,EPICERIE NAZAIRE ESSIAMBRE. - 00694,STE-ANNE-DES-MONTS QUÉBEC G4V3B8,"53, BOULEVARD PERRON",G4V3B8
Général,ESSO LE RIVERAIN,BÉRANGÈRE / DAVE (ne pas vendre spécialités) .,Telephone,4187635717,,Sainte-Anne-des-Monts,3,,,ESSO LE RIVERAIN. - 00695,STE-ANNE-DES-MONTS,"208, BOUL ST-ANNE OUEST",G4W1S2
Général,GAZ BAR MARIO JEAN,Mario,Telephone,4187632545,MICHOU11@GLOBETROTTER.NET,Sainte-Anne-des-Monts,3,,,GAZ BAR MARIO JEAN. - 00696,STE-ANNE-DES-MONTS,"63, BOUL PERRON OUEST",G4V3B8
Général,IGA MATANE (MARCHÉ DESROSIERS INC.,,Phone,4185627111,,Sainte-Anne-des-Monts,3,,,IGA MATANE (MARCHE DESROSIERS INC).,MATANE,551 AVENUE DU PHARE EST,G4W1A8
Général,MARCHE PAM,Michel,Telephone,4187842224,marchepam@globetrotter.net,Sainte-Anne-des-Monts,3,,,MARCHE PAM. - 00705:MARCHE P.A.M. - 00697,MURDOCHVILLE,604 4 IEME RUE,G0E1W0
Général,METRO 2795 : ALIMENTATION BERNARD CARON INC.,Joel,Telephone,4187632026,MF022795OPR@METRO.CA,Sainte-Anne-des-Monts,3,,,METRO/:MÉTRO 22795 ALIMENTATION BERNARD CARON INC,STE ANNE DES MONTS EST,2 BOUL STE ANNE,G4V1M5
2% Gestion,METRO 6352 : METRO DEPANNEUR PAUL EMILE,Richard 418-288-5627 maison 418-763-8789 cell,Telephone,4182885276,TOUPETIT@GLOBETROTTER.NET,Sainte-Anne-des-Monts,3,,,No match,N/A,N/A,N/A
Général,MARCHE CHEZ JULIE,Julie,Telephone,4187972167,BX06207MONTSTPIERRE@SOBEYS.COM,Sainte-Anne-des-Monts,4,,,MARCHE CHEZ JULIE. - 00698,MONT-SAINT-PIERRE QUÉBEC G0E1V0,"70, PRUDENT CLOUTIER",G0E1V0
Général,CANTINE LA TOURELLE,Carole (418-763-0380) .,Telephone,4187630202,KAROBENOIT@HOTMAIL.COM,Sainte-Anne-des-Monts,2,csp,,CANTINE LA TOURELLE. - 00699,STE-ANNE-DES-MONTS,"35, BOUL PERRON",G4V3A1
Général,LA MACHINE A TRUC,Yannick,Telephone,4187972137,ELEMENTYANIK@GMAIL.COM,Sainte-Anne-des-Monts,2,csp,,LA MACHINE A TRUC. - 00700,MONT LOUIS,40. 7E RUE EST,G0E1T0
Général,MICROBRASERIE LE MALBORD,Guillaume,Courriel,4187640022,bistro@lemalbord.com,Sainte-Anne-des-Monts,2,csp,,No match,N/A,N/A,N/A
Général,SEA SHACK (AUBERGE FESTIVE),Jean-Philippe,Telephone,4187632999,jp@aubergefestive.com,Sainte-Anne-des-Monts,2,csp,,SEA SHACK (AUBERGE FESTIVE). - 00702,SAINTE ANNE DES MONTS,292 boul Perron Est,G4V3A7
Saisonnier,CHIC CHAC (SKI MILLER),Marine 514.929.0395,Telephone,4187843311,ADMIN@CHIC-CHAC.CA,Sainte-Anne-des-Monts,3,csp,,No match,N/A,N/A,N/A
Général,PUB CHEZ BASS,Sebastien,Telephone,4187641318,INFO@CHEZBASS.COM,Sainte-Anne-des-Monts,3,csp,,No match,N/A,N/A,N/A
DBSQ,CHOPE SUR MER,Christian Riviere (Lundi fermé en hivers) Envoyez les disponibilités deux jours d'avance,Telephone,5818860037,CHOPE-SUR-MER@HOTMAIL.COM;,BAIE DES CHALEURS,1,,,CHOPE SUR MER. - 00110,CARLETON QUÉBEC GOC1J0,562 BOUL PERRON,GOC1J0
Général,DEPANNEUR SL CAPLAN,Denis/Louise,Telephone,4183885714,DEPANNEURSL@HOTMAIL.CA;,BAIE DES CHALEURS,1,,,DEPANNEUR S.L. CAPLAN. - 00116,CAPLAN,78 BOUL. PERRON,G0C1H0
Général,IGA PASPEBIAC,Marc / Luc .,Telephone,4187522288,IGA08250HAUTEDIRECTION@SOBEYS.COM;,BAIE DES CHALEURS,2,,,IGA PASPEBIAC. -00121,PASPEBIAC,111 BOULEVARD GERARD D LEVESQUE OUEST,G0C2K0
Général,MAGASIN GENERAL (DEPANNEUR DU PARC),Nancy,Courriel,4185343438,FELICIABELANGER@LIVE.CA;,BAIE DES CHALEURS,2,,,No match,N/A,N/A,N/A
Général,MARCHE LV LIMITE,Benoit,Courriel,4183647380,epicerie.metro@globetrotter.net;MA004978ADM@METRO.CA,BAIE DES CHALEURS,2,,,No match,N/A,N/A,N/A
Général,BONI-SOIR DEPANNEUR CENTRAL,KAREN WHITTINGTON (FRIGO) .,Telephone,4183920313,depcentralnr@globetrotter.net;,BAIE DES CHALEURS,3,,,No match,N/A,N/A,N/A
Général,DEPANNEUR 2000,Mandy Clark,Telephone,4187527070,MINDUJOE@HOTMAIL.COM;,BAIE DES CHALEURS,3,,,DÉPANNEUR 2000. - 00112,NEW-CARLISLE QUÉBEC G0C,200 GÉRARD D. LÉVESQUE,BECG0C
Général,DEPANNEUR DU COIN SENC - BONAVENTURE,Guylaine,Telephone,4185342353,WANGJINGCO@GMAIL.COM;,BAIE DES CHALEURS,3,,,DÉPANNEUR DU COIN SENC - BONAVENTURE. - 00113,BONAVENTURE,"185, GRAND-PRÉ",G0C1E0
Général,DEPANNEUR L' AIGLE D OR,aucun responsable,Telephone,4183926363,aigledor@navigue.com;,BAIE DES CHALEURS,3,,,DÉPANNEUR L' AIGLE D OR. - 00114,NEW RICHMOND,184 RTE 132,G0C2B0
Général,DEPANNEUR LANGLOIS,Annick,Telephone,4187528109,annick_grenier@outlook.com;,BAIE DES CHALEURS,3,,,No match,N/A,N/A,N/A
Général,DÉPANNEUR LE DUO ENR.,GAETANNE/ GERMAINE,Telephone,4183885558,GAETANELEBLANC@NAVIGUE.COM;,BAIE DES CHALEURS,3,,,DEPANNEUR LE DUO ENR. - 00720,CAPLAN,"129, ROUTE DE SAINT-ALPHONSE",G0C2V0
Général,GAZ BAR NEW-RICHMOND,ALEX ( (418-392-5115) .,Telephone,4183914330,GAZBARNR@GMAIL.COM;,BAIE DES CHALEURS,3,,,GAZBAR NEW-RICHMOND. - 00117,NEW-RICHMOND QUÉBEC G0C2B0,132 ROUTE 132 OUEST,G0C2B0
Général,IGA BONAVENTURE,Steeven,Telephone,4185342020,IGA00482COMPTABILITE@SOBEYS.COM;,BAIE DES CHALEURS,3,,,IGA BONAVENTURE. - 00118,"168, AVENUE GRAND-PRÉ",MAGASIN COOP BONAVENTURE
AND-PRÉ
Général,IGA MARIA,Gerald / Nicole,Telephone,4187593440,IGA00299MARIA@SOBEYS.COM;,BAIE DES CHALEURS,3,,,IGA MARIA. - 00119,MARIA,524 BOUL PERRON,G0C1Y0
Général,IGA NEW-RICHMOND,Ghislain / Dany,Telephone,4183924237,iga00497newrichmond@sobeys.com;,BAIE DES CHALEURS,3,,,IGA NEW-RICHMOND. - 00120,NEW RICHMOND,120 PERRON OUEST,G0C2B0
Général,LOBLAWS INC (MAXI NEW-RICHMOND),BRUCE .,Telephone,4189322600,max8641d@provigo.ca;,BAIE DES CHALEURS,3,,,No match,N/A,N/A,N/A
Général,MARCHE TRADITION CAPLAN,Andre,Telephone,4183882042,;,BAIE DES CHALEURS,3,,,SDEIC,CAPLAN,22 BOULEVARD PERRON EST,G0C1H0
Général,PETRO-CANA DEPANNEUR BEAUSOIR,Natalie .,,5813643000,mboure.sidibe@hrblock-qcnb.com;,BAIE DES CHALEURS,3,,,PÉTRO-CANA DÉPANNEUR BEAU-SOIR. - 00126,ST-SIMÉON QUÉBEC G0C3A0,101 PERRON OUEST,G0C3A0
Général,PETRO-CANADA PASPEBIAC,Samuel,Telephone,4187526519,;,BAIE DES CHALEURS,3,,,No match,N/A,N/A,N/A
Général,POISSONNERIE LA COQUILLE,Michael .,Telephone,4183882427,lacoquille@globetrotter.net;,BAIE DES CHALEURS,3,,,POISSONNERIE LA COQUILLE. - 00128,CAPLAN,277 RTE 132 OUEST,G0C1H0
Général,CAFE ACADIEN BONAVENTURE,Christophe,Telephone,4185344276,INFO@CAFEACADIEN.COM;,BAIE DES CHALEURS,2,csp,,CAFE ACADIEN BONAVENTURE. - 00713,BONAVENTURE,"168, RUE DE BEAUBASSIN",G0C1E0
Général,Bar SALON L'ETAPE (cs),Sylvie / Marie,Telephone,4185343144,BSPOIR@GLOBETROTTER.NET;,BAIE DES CHALEURS,3,csp,,BAR SALON L'ÉTAPE. - 00130,SAINT SIMEON,"149 A, BOUL PERRON OUEST",G0C3A0
Général,BOULANGERIE LA PETRIE (CSP),Sylvie c.581-233-0157 .,Telephone,4185343445,info@boulangerieartisanalelapetrie.com;,BAIE DES CHALEURS,3,csp,,BOULANGERIE LA PÉTRIE. - 00131,BONAVENTURE,"128, AVE DE GRAND-PRÉ",G0C1E0
Général,CAFE LUNA (rappeler le 14 avril),Isabelle après 10h,Telephone,4187527005,;,BAIE DES CHALEURS,3,csp,,No match,N/A,N/A,N/A
Centre Culturel Paspébiac,Annick courriel,,4187528109,culture@villepaspebiac.ca;,BAIE DES CHALEURS,3,csp,,No match,N/A,N/A,N/A
Général,CLUB DE GOLF BONAVENTURE,DONALD HORTH .,Cell + Email,4187523161,info@agfauvel.com;,BAIE DES CHALEURS,3,csp,,CLUB DE GOLF DE BONAVENTURE,BONAVENTURE,"361, RTE 132 EST",G0C1E0
Général,HOTEL BAIE BLEU,Judith Brière PM Pub St-Joseph(418-392-3462) .,Telephone,4183643355,melanie.boudreau@baiebleue.com;,BAIE DES CHALEURS,3,csp,,PUB ST-JOSEPH. - 00138,BONAVENTURE QUÉBEC G0C1E0,"119, AVENUE GRAND PRÉ",G0C1E0
Général,HÔTEL LA MAISON BLANCHE,Marlène,Telephone,4187521000,pascal@hoteldescommandants.com;,BAIE DES CHALEURS,3,csp,,HÔTEL LA MAISON BLANCHE. - 00136,NEW-CARLISLE QUÉBEC G0C1Z0,104 BOUL GÉRARD LÉVESQUE,G0C1Z0
Général,HOTEL MOTEL FRANCIS,Chloé .,Telephone,4187528261,FACTURATION@HOTELFRANCIS.QC.CA;,BAIE DES CHALEURS,3,csp,,No match,N/A,N/A,N/A
Général,PUB ST-JOSEPH,ANNIE BÉLANGER . 418-392-3462,Telephone,4183923462,sandra.boivin@BAIEBLEUE.COM;,BAIE DES CHALEURS,3,csp,,No match,N/A,N/A,N/A
Général,RESTAURANT LE FIN GOURMET(fût),Jacob .(418-392-9820) .,Telephone,4183924704,ADMIN.FINGOURMET@GLOBETROTTER.NET;,BAIE DES CHALEURS,3,csp,,RESTAURANT LE FIN GOURMET. - 00139,RTE 132 OUEST,129,2OUEST
Général,RESTAURANT LE MARIN D'EAU DOUCE,Mohamed Pas de spécialité ouvre saison estival,Telephone,4183647602,CONTACT@MARINDEAUDOUCE.COM;,BAIE DES CHALEURS,3,csp,,RESTAURANT LE MARIN D'EAU DOUCE. - 00140,CARLETON QUÉBEC G0C1J0,215 ROUTE DU QUAI,G0C1J0
Général,RESTO PUB GASPESIEN (cs),Yves Huard Check notes pour cell.,Telephone,4187522003,yjhuard@lgmsolution.com;,BAIE DES CHALEURS,3,csp,,No match,N/A,N/A,N/A
Général,RIOTEL BONAVENTURE,Chantale Bujold,Telephone,5818864317,MOUELLET@RIOTEL.COM;,BAIE DES CHALEURS,3,csp,,No match,N/A,N/A,N/A
Général,UMI YAMA SUSHI (fût),David c. 418-392-0669 Juste des futs,Courriel,4183643885,AKICARLETON@GMAIL.COM;,BAIE DES CHALEURS,3,csp,,UMI YAMA SUSHI. - 00143,CARLETON QUÉBEC,725 BOUL. PERRON,QUÉBEC
Général,PROVIGO GASPE 8040 ALIMENTATION NADINE MURRAY INC,Derek poste 1 et attendre,Telephone,4183687144,SMP8040D@PROVIGO.CA,Gaspe,1,,,LOBLAW:PROVIGO GASPÉ 8040 ALIMENTATION NADINE MURRAY INC,GASPÉ,167 RUE DE LA REINE,G4X2W6
Général,GAZ BAR JEAN-GUY THIBAULT,Betina / Jean-Guy,Telephone,4183686573,DAPHNE.JGT@HOTMAIL.CA,Gaspe,2,,,GAZ BAR JEAN-GUY THIBAULT. - 00204,GASPÉ,"126, DE DOUGLAS",G4X2W8
Général,IGA GASPE,Isaïe / Mario (av. 15h),Telephone,4183685211,IGA00477GASPE@SOBEYS.COM,Gaspe,2,,,IGA GASPÉ. - 00192,GASPE,39 MONTEE DE SANDY BEACH,G4X2A9
Général,MARCHE DES SAVEURS GASPESIENNES,Julien cell: 418-355-8847 Jean-Francois (Proprio),Telephone,4183687705,saveursgaspesiennes@gmail.com,Gaspe,2,,,MARCHE DES SAVEURS GASPESIENNES. - 00193,GASPE,119 RUE DE LA REINE,G4X1T5
2% Gestion,METRO 3859 : METRO EPICERIE JOEL ASPIRAULT,Eric (au 2 Semaines),Telephone,4182693202,ERICENGLISH@GLOBETROTTER.NET,Gaspe,2,,,METRO/:MÉTRO ÉPICERIE JOEL ASPIRAULT 3859.,RIVIÈRE-AU-RENARD,"43, BOUL RENARD EST",G4X5R1
2% Gestion,METRO 6108: METRO SUPER C GASPE 6108,Yvon Avant 14h Lundi,Telephone,4183600021,MS026108ADM@METRO.CA,Gaspe,2,,,METRO/:MÉTRO SUPER C GASPÉ 6108.,GASPÉ,"327, BOUL YORK SUD",G4X2L2
Général,DEPANNEUR BILODEAU,Denise (Vendredi) (au 2 semaines),Telephone,4188925391,denise.bilodeaudep@gmail.com,Gaspe,3,,,DÉPANNEUR BILODEAU. - 00195,GASPÉ,"2, CHEMIN DU PORTAGE",G4X6B4
Général,DEPANNEUR CADEKO GASPE,Derline .,Telephone,4183682731,PC079@CADEKO.CA,Gaspe,3,,,PETROLES CADEKO:DÉPANNEUR CADÉKO GASPÉ. - 00196,GASPÉ,91 RUE JACQUES CARTIER,G4X1M5
Général,DEPANNEUR CENTRE-VILLE,Jean Philippe,Telephone,4183605569,jp_com@hotmail.com,Gaspe,3,,,DÉPANNEUR CENTRE-VILLE. - 00197,GASPÉ,127 JACQUES-CARTIER,G4X1M8
Général,DEPANNEUR COTTON,Shirley / Line (Au 2 semaines) Arlequin,Telephone,4182697770,SCOTTON02@HOTMAIL.COM,Gaspe,3,,,DÉPANNEUR COTTON. - 00198,RIVIÈRE-AU-RENARD G4X5P5,"201, DE RIVIÈRE-MORRIS",G4X5P5
Général,DEPANNEUR DU VERSANT (GASPE),Jennifer,Telephone,4183682544,VERSANT2018@YAHOO.COM,Gaspe,3,,,DÉPANNEUR DU VERSANT (GASPE). - 00199,GASPE,462 MONTEE WAKEHAM,G4X1Y6
Général,DEPANNEUR SOS,Gino Lundi,Telephone,4183682425,DENISFORTIN@GLOBETROTTER.NET,Gaspe,3,,,DÉPANNEUR SOS. - 00200,GASPÉ,"24, MONTÉE DE SANDY BEACH",G4X2A8
Général,EPICERIE BOULAY,Gaetan (Au 2 Semaines),Telephone,4182693654,GAETAN.BOULAY56@ICLOUD.COM,Gaspe,3,,,ÉPICERIE BOULAY. - 00201,GASPE,77 RENARD EST,G4X5K7
Général,EPICERIE DU COIN DE GASPE INC,Gervais,Telephone,4183684888,DEPANNEURDUCOIN@HOTMAIL.CA,Gaspe,3,,,ÉPICERIE DU COIN DE GASPÉ INC. - 00202,GASPÉ,94 RUE MONSEIGNEUR ROSS,G4X1L8
METRO 6702 : DÉPANNEUR CHEZ MARC,Jean François (AM) (Au 2 Semaines),Telephone,4183615430,,Gaspe,3,,,No match,N/A,N/A,N/A
Général,ROBIN DE BARACHOIS,Karl,Telephone,4186452291,,Gaspe,3,,,ROBIN DE BARACHOIS. - 00206,BARACHOIS QUÉBEC G0C2L0,1083 RTE 132 E,G0C2L0
Général,BRISE BISE,Mimi Le Lundi cher :) (Porter20L) (reste en 50L),Telephone,4183605161,INFO@BRISEBISE.CA,Gaspe,1,csp,,No match,N/A,N/A,N/A
Général,HOTEL BAKER (TETU) (FÛT/CAD),Nicki Ouverture le 27,Telephone,4183615368,pascal@hotelbaker.ca,Gaspe,1,csp,,No match,N/A,N/A,N/A
Général,IMPROVISATION GASPE,Camille Perry Besoin de rien avant 20 Jan.,Telephone,4183603316,COMMUNICATIONIMPROGASPE@GMAIL.COM,Gaspe,2,csp,,No match,N/A,N/A,N/A
Général,AUBERGE LE CARIBOU,Matieu (new boss) Ou Line (Au 2 semaines),Telephone,18772603344,administration@lecaribou.ca,Gaspe,3,csp,,AUBERGE LE CARIBOU. - 00211,RIVIERE AUX RENARD,82 BOUL RENARD OUEST,G4X5H1
Général,BAR LE CALE VERRE,Vicky Dufresne (Au 2 Semaines),Telephone,5818870282,barlecaleverre@outlook.com,Gaspe,3,csp,,No match,N/A,N/A,N/A
Saisonnier,CAFE BISTRO PARC NATURE CAP-AUX-OS CSP (GESTION HOTELIERE GASPESIA),Annette Nicolas,Telephone,4183612070,ANETTENICOLAS1@HOTMAIL.COM,Gaspe,3,csp,,CAFÉ BISTRO CAP-AUX-OS CSP. ( GESTION HOTELIÈRE GASPESIA) - 00214,Cap-aux-Os Québec G4X6L6,1986 boul. Grande Grève,G4X6L6
Général,CAFE DES ARTISTES,Martin,Telephone,4183683366,,Gaspe,3,csp,,CAFÉ DES ARTISTES. - 00215,GASPE,101 DE LA REINE,G4X1T5
Général,CAMP DE BASE,Jean François Tapp,Telephone,4186452907,INFO@CAMPDEBASEGASPESIE.COM,Gaspe,3,csp,,No match,N/A,N/A,N/A
Général,CLUB NAUTIQUE GASPÉ,,Telephone,4183681288,,Gaspe,3,csp,,Club Nautique Jacques Cartier.,GASPÉ,"10, RUE DE LA MARINA",G4X3B1
Général,MAISON WAKEHAM,Réal 418-368-5537,Telephone,4183607622,MAISONWW@HOTMAIL.FR,Gaspe,3,csp,,No match,N/A,N/A,N/A
Général,MONT BECHERVAISE,Simon Tessier c. 418-360-7891,Telephone,4183682000,directionbechervaise@gmail.com,Gaspe,3,csp,,No match,N/A,N/A,N/A
Général,RESTAURANT CHEZ RON,Terry Fermé Lundi c.418-360-4750,Telephone,4183686274,,Gaspe,3,csp,,RESTAURANT CHEZ RON. - 00220,GASPÉ (,"627, BOUL DE YORK S",G4X2L3
Général,MARCHE RICHELIEU NICOLAS,Gino verres ginoduguay38@hotmail.com,Cell + Email,4186899947GINO,ginoduguay38@hotmail.com,Local,1,,,No match,N/A,N/A,N/A
Général,IGA CHANDLER (8255),Jean Guillaume (Helène),Telephone,4186896862,IGA08255COMPTABILITE@SOBEYS.COM,Local,2,,,IGA CHANDLER (8255). - 00223,CHANDLER,89 BOUL. RENÉ-LEVESQUE OUEST,G0C1K0
Général,PECHE MALTE,418-689-2428 Mustafa / Marie-Josee (email+tel),Telephone,4186891214,PECHEMALTE@GMAIL.COM,Local,2,,,PÉCHÉ MALTÉ. - 00224,CHANDLER QUÉBEC G0C1K0,65 RUE COMMERCIALE OUEST LOCAL 101,G0C1K0
Général,ALEXINA,Marie-Line Berthelot,Telephone,4183851316,alexina@cgocable.ca,Local,3,,,ALEXINA. - 00225,GRANDE - RIVIERE,"172, GRANDE-ALLÉE",G0C1V0
Général,DEPANNEUR CA-RO-LYN,Annie Bernier cell: 418 616-0061,Telephone,4183853515,annie_bernier@live.ca,Local,3,,,DÉPANNEUR CA-RO-LYN. - 00226,GRANDE-RIVIÈRE,48A LA GRANDE-ALLÉE EST,G0C1V0
Général,DEPANNEUR CHEZ MARIO,Bruno,Telephone,4183852130,BRUNOCOLLIN@HOTMAIL.CA,Local,3,,,DÉPANNEUR CHEZ MARIO. - 00227,STE-THERESE-DE-GASPE,323 RTE 132,G0C3B0
Général,DEPANNEUR CHEZ MICHEL,Francine/Yves,Telephone,4183965411,,Local,3,,,DÉPANNEUR CHEZ MICHEL. - 00228,PORT DANIEL QUÉBEC G0C2N0,215 B DE LA RIVIÈRE,G0C2N0
Général,DEPANNEUR MARIE-SOLEIL,Cinthya 10h,Telephone,4183853282,CYNTHIALAVOIE31@HOTMAIL.CA,Local,3,,,DÉPANNEUR MARIE-SOLEIL. - 00229,GRANDE-RIVIÈRE QUÉBEC G0C1V0,152 RUE GRANDE-ALLÉE,G0C1V0
Général,DEPANNEUR PM,Paul,Telephone,4183963000,,Local,3,,,DÉPANNEUR PM (BANNIÈRE ESSO) - 00221,PORT-DANIEL,414 ROUTE PORT-DANIEL,G0C2N0
Général,DEPANNEUR STATION 132,Carole-Anne,Courriel,4183853350,depstation132@gmail.com,Local,3,,,DÉPANNEUR STATION 132. - 00230,GRANDE-RIVIÈRE,148 LA GRANDE-ALLÉE EST,G0C3B0
Général,ENTREPRISE DENIS N DUBE,Steeve,Telephone,4186892311,STEVE.CYR@GLOBETROTTER.NET,Local,3,,,ENTREPRISE DENIS DUBÉ. - 00231,PABOS G0C2H0,"382, BOUL PABOS",G0C2H0
Général,ENTREPRISE LUCIEN BROUSSEAU,Lucien Brousseau,Telephone,4186895858,CLAUDE-CHOUINARD@LIVE.CA,Local,3,,,ENTREPRISE LUCIEN BROUSSEAU. - 00232,PABOS MILLS QUÉBEC G0C2J0,"186, ROUTE 132",G0C2J0
Général,EPICERIE DT LANGLOIS (MARCHE),Brigitte,Telephone,4183962330,glegault@live.ca,Local,3,,,ÉPICERIE DT LANGLOIS (MARCHÉ). - 00245,PORT DANIEL,530 RTE 132,G0C2N0
Général,EPICERIE G MEUNIER (INTERMARCHE),Jacques l'informer des bottle release,Telephone,4187772991,epiceriegaetanmeunier@globetrotter.net,Local,3,,,ÉPICERIE G. MEUNIER (INTERMARCHÉ). - 00233:AXEP NEWPORT (CHOISIR EPICEIRE G. MEUNIER).,NEW PORT,432 RTE 132,G0C2A0
