Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp
AA,CHEZ GIBB CENTRE-VILLE,Jean-Francois,Telephone,(819) 277-7387,info@chezgibb.com,Abitibi,1
Général,PETRO-CANADA ARRÊT ROUTIER LE RACK À BROUE (Alcasyna),Alex Lambert / Joanie,Telephone,(819) 732-3235,ARRET.ROUTIER@ALCASYNA.QC.CA,Abitibi,2
Général,COOP AMOS IGA EXTRA 8578,SYLVAIN,Telephone,(819) 732-5281,IGA08578EPICERIE@SOBEYS.COM,Abitibi,3
DBSQ + AA,DEPANNEUR CHEZ GIBB,Jean-Francois,Cell + Email,(819) 277-7387,INFO@CHEZGIBB.COM,Abitibi,3
Général,DEPANNEUR LE CAGIBI,Jessica Ouellet Cell si absente 819-629-2244,Telephone,(819) 629-2166,CAGIBI@OUTLOOK.COM,Abitibi,3
Général,MARCHE FAMILLE JULIEN INC,Benoit Godin,Telephone,(819) 762-6402,IGA08286epicerie@SOBEYS.COM,Abitibi,3
Général,Provigo Val d’or 8812,Sylvain Fortin,Cell + Email,(819) 825-5000,smp8812d@provigo.ca,Abitibi,3
Général,STATION CENTRE-VILLE,Vincent Labranche,Courriel,(705) 499-5923 CELL,VINCENTLABRANCHE@GMAIL.COM,Abitibi,3
Général,ALIMENTATION SYLVAIN BOYER INC,Chantal Valois (proprio),Telephone,(819) 333-5598,iga08561SBoyer@sobeys.com,Abitibi,4
Général,DEPANNEUR LACELLE (VOISIN),Andre-Jean Garneau,Courriel,(819) 623-1623,DEPLACELLE@HOTMAIL.COM,Abitibi,4
Général,LA TANIÈRE,Julien,Telephone,(819) 824-2002,LATANIERE08@OUTLOOK.COM,Abitibi,3,csp
DBSQ,PUB CHEZ GIBB,Jean-François,Telephone,(819) 277-7387,info@chezgibb.com,Abitibi,3,csp
Général,EPICERIE R BUTEAU (inter Marche St-Prospère),Alexandre Giguère (Open deck),PivoHub/Tel/Courriel,(418) 594-8244,inter8344@hotmail.com,Beauce,1
Général,ACCOMODATION 7-23 (MARCHE 723),Philippe Cloutier C. (418) 313-1336,Telephone,(418) 227-0548,ACC7-23@OUTLOOK.COM,Beauce,2
Général,IGA MARCHE ST-PIERRE ET FILS 0407,Stephane Pelletier Texto rapide: 819-740-4410,PivoHub/Courriel,(418) 335-6222,IGA00407MARCHESTPIERRE@SOBEYS.COM,Beauce,2
2% Gestion,2669 METRO RICHELIEU INC.(corporatif),Brian Pas de place en magasin pas de commande,Telephone,(418) 423-7888,,Beauce,3
2% Gestion,4417 (METRO) COOPÉRATIVE DE SOLIDARITÉ DES MÉANDRES,Maryse Pas de commande avant Septembre 2020,Telephone,(418) 642-5667,,Beauce,3
Général,5266 LA MIE-JO INC.,,Telephone,(418) 387-5882,,Beauce,3
Général,5266 SERVI-EXPRESS,Jocelyn .,Phone,(418) 387-5882,,Beauce,3
Bonisoir Disraeli,Roxan 418-334-1636,Cell + Email,(581) 209-0010,,Beauce,3
Général,Boucherie Benoit Poulin,Jean-Francois Poulin,Telephone,(418) 338-4654,Info@boucheriepoulin.com,Beauce,3
2% Gestion,Charcuterie SCOTSTOWN,Pierre-Jean Désilets :) Hebdomadaire,Telephone,(819) 657-4955,charcuteriescotstown@gmail.com,Beauce,3
Général,DEPAMAX,elias (anglo) / Dany (franco),Telephone,(418) 387-2710,elias@danpher.ca,Beauce,3
Général,DEPANNEUR RIVIERE BLANCHE,Martine Boucher / Sylvain Gauthier,Pivohub / tel,(418) 338-3992,DEPANNEURRIVIEREBLANCHE@HOTMAIL.CA,Beauce,3
Général,IGA 575 Rodrigue et filles,Alex Bégin Cell: 418-957-5557,,(418) 228-2375,iga00575epicerie@sobeys.com,Beauce,3
Général,IGA MARCHE DESGAGNONS,Martin Gagnon,Courriel,(418) 449-4218,MARTIN@IGADISRAELI.COM,Beauce,3
Les Peres Nature,Francis Grondine .# 229 .,Pivohub / tel,(418) 227-4422,fromage.stg@gmail.com,Beauce,3
AA,MARCHE LAVALLEE,Louise .,Courriel,(819) 583-0617,marche.lavallee@axion.ca,Beauce,3
2% Gestion,METRO 2961 RICHELIEU INC.,Jean Belavare Commandera nos produits lorsque l'on aura des canettes,,(418) 625-6301,,Beauce,3
