Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,matchname,city,street,postalcode
2% Gestion,2430 (METRO) Alimentation Marie-Josée Bernard inc.,Mathieu Durivage,Telephone,5143008905,mf022430mgr@metro.ca,MTL Ouest,3,,No match,N/A,N/A,N/A
2% Gestion,2436 ALIMENTATION DANIEL CREVIER INC.,PETER .,Telephone,5147373511,,MTL Ouest,3,,METRO/:METRO PLUS 2436 - ALIMENTATION DANIEL CREVIER,MONTRÉAL QUÉBEC H1C1V6,"11011, BOULEVARD MAURICE DUPLESSIS",H1C1V6
2% Gestion,2455 ALIMENTATION GIOVANNI RUSSO (2004) INC.,Santa santa,Cell Phone,5146955811,,MTL Ouest,3,,METRO/:2455 ALIMENTATION GIOVANNI RUSSO (2004) INC.,BEACONSFIELD,"50, BOUL, SAINT-CHARLES, SUITE 17",H9W-2X3
2% Gestion,5941 VAUDREUIL,Sébastien ABSENT MARDI,Telephone,4504556222,,MTL Ouest,3,,METRO/:METRO SUPER C 5941 VAUDREUIL,VAUDREUIL,"44, CITÉ DES JEUNES",J7V9L5
2% Gestion,6814 AMI (DEPANNEUR GRENIER),martin il tient pas nos produits,Telephone,4502692505,,MTL Ouest,3,,No match,N/A,N/A,N/A
Général,COMPTOIR GOURMAND DELISSIMO (WJW),Linda,Courriel,4509212321,DELISSIMO-WJW@HOTMAIL.FR,MTL Ouest,3,,No match,N/A,N/A,N/A
Général,DEPANNEUR AU COIN DULUTH,Yan . anglo,Telephone,5142888830,AUCOINDULUTH1@YAHOO.FR,MTL Ouest,3,,SOBEYS:IGA 3733 DEPANNEUR AU COIN DULUTH. - 00409,MONTREAL,418 AV. DULUTH EST,H2L1A3
Dépanneur Baktar Attila,Parviz Azizi,Cell + Email,4503730606,cheminlarocque526@gmail.com,MTL Ouest,3,,DEPANNEUR BAKTAR INC,VALLEYFIELD,526 CH. LAROQUE,J6T4C5
Général,Depanneur Card's,Dany Cardinal,Cell Phone,4503734313,depanneurcards@hotmail.ca,MTL Ouest,3,,DEPANNEUR CARDS -  00818,VALLEYFIELD,"380, RUE DANIS",J6S1M7
Général,DEPANNEUR CHEZ CLAUDE ET CLAUDETTE,ROBERT .,Telephone,5149330833,robertkim00@gmail.com,MTL Ouest,3,,DEPANNEUR CHEZ CLAUDE ET CLAUDETTE - 00774,MONTREAL,4131 RUE ST-ANTOINE OUEST,H4C1C2
