Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,matchname,city,street,postalcode
AA,CHEZ GIBB CENTRE-VILLE,Jean-Francois,Telephone,8192777387,info@chezgibb.com,Abitibi,1,,PUB CHEZ GIBB. - 00009,ROUYN-NORANDA QUÉBEC J0Z1Y0,25 RUE PRINCIPALE E.,J0Z1Y0
Général,PETRO-CANADA ARRÊT ROUTIER LE RACK À BROUE (Alcasyna),Alex Lambert / Joanie,Telephone,8197323235,ARRET.ROUTIER@ALCASYNA.QC.CA,Abitibi,2,,PÉTROLES ALCASYNA.,AMOS QUÉBEC,352 6 IÈME RUE OUEST,QUÉBEC
Général,COOP AMOS IGA EXTRA 8578,SYLVAIN,Telephone,8197325281,IGA08578EPICERIE@SOBEYS.COM,Abitibi,3,,COOP AMOS IGA EXTRA 8578.,AMOS,"421, 12E AVENU EST",J9T3H1
DBSQ + AA,DEPANNEUR CHEZ GIBB,Jean-Francois,Cell + Email,8192777387,INFO@CHEZGIBB.COM,Abitibi,3,,PUB CHEZ GIBB. - 00009,ROUYN-NORANDA QUÉBEC J0Z1Y0,25 RUE PRINCIPALE E.,J0Z1Y0
Général,DEPANNEUR LE CAGIBI,Jessica Ouellet Cell si absente 819-629-2244,Telephone,8196292166,CAGIBI@OUTLOOK.COM,Abitibi,3,,DÉPANNEUR LE CAGIBI. - 00003,VILLE-MARIE QUÉBEC J9B2B6,19 RUE STE-ANNE,J9B2B6
Général,MARCHE FAMILLE JULIEN INC,Benoit Godin,Telephone,8197626402,IGA08286epicerie@SOBEYS.COM,Abitibi,3,,MARCHÉ FAMILLE JULIEN INC. - 00005,ROUYN-NORANDA QUÉBEC J9X7E7,105 AVENUE SENATOR,J9X7E7
Général,Provigo Val d’or 8812,Sylvain Fortin,Cell + Email,8198255000,smp8812d@provigo.ca,Abitibi,3,,LOBLAW:PROVIGO VAL-D'OR,,LOBLAWS
Général,STATION CENTRE-VILLE,Vincent Labranche,Courriel,7054995923,VINCENTLABRANCHE@GMAIL.COM,Abitibi,3,,STATION CENTRE-VILLE. - 00006,TÉMISCAMINGUE QUÉBEC J0Z3R0,557 CHEMIN KIPAWA,J0Z3R0
Général,ALIMENTATION SYLVAIN BOYER INC,Chantal Valois (proprio),Telephone,8193335598,iga08561SBoyer@sobeys.com,Abitibi,4,,ALIMENTATION SYLVAIN BOYER INC. - 00007,LASARRE QUÉBEC J9Z,"77, 2 ÈME RUE EST",BECJ9Z
Général,DEPANNEUR LACELLE (VOISIN),Andre-Jean Garneau,Courriel,8196231623,DEPLACELLE@HOTMAIL.COM,Abitibi,4,,DÉPANNEUR LACELLE (VOISIN). - 00008,MONT-LAURIER QUÉBEC J9L2V1,409 CHARLES,J9L2V1
